model,val_acc,method,seed,distance,ece,mce,ace,piece,Confbin,Knnbin,Proximity_bin,Conf_normalize
beit_large_patch16_384,0.8838,histogram_binning_kde,2022,cosine,0.053156842,0.039799298,0.056772844,0.060842828,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning_kde,2022,IVFFlat,0.054985713,0.041319295,0.05883127,0.062895381,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning_kde,2022,IVFPQ,0.044301327,0.032919333,0.053649811,0.057184831,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning_kde,2022,L2,0.054837367,0.041279295,0.056955346,0.062851328,15,10,5,FALSE
beit_large_patch16_384,0.8838,isotonic_regression,2022,cosine,0.028637654,0.01249247,0.027512524,0.032870452,15,10,5,FALSE
beit_large_patch16_384,0.8838,isotonic_regression,2022,IVFFlat,0.028637654,0.01249247,0.027512524,0.032815618,15,10,5,FALSE
beit_large_patch16_384,0.8838,isotonic_regression,2022,IVFPQ,0.028637654,0.01249247,0.027512524,0.033547011,15,10,5,FALSE
beit_large_patch16_384,0.8838,isotonic_regression,2022,L2,0.028637654,0.01249247,0.027512524,0.032849156,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression,2022,cosine,0.005025059,0.001079083,0.005246221,0.018293059,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression,2022,IVFFlat,0.005025059,0.001079083,0.005246221,0.017918138,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression,2022,IVFPQ,0.005025059,0.001079083,0.005246221,0.014662948,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression,2022,L2,0.005025059,0.001079083,0.005246221,0.017784585,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression_kde,2022,cosine,0.005285235,0.000997859,0.005400922,0.014372352,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression_kde,2022,IVFFlat,0.004306934,0.001171632,0.005379426,0.013982139,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression_kde,2022,IVFPQ,0.007175317,0.001375078,0.007366926,0.016505423,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression_kde,2022,L2,0.004418148,0.001193152,0.00536459,0.01388583,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts,2022,cosine,0.014978984,0.004042348,0.014943151,0.02163544,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts,2022,IVFFlat,0.014978984,0.004042348,0.014943151,0.021834936,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts,2022,IVFPQ,0.014978984,0.004042348,0.014943151,0.020580733,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts,2022,L2,0.014978984,0.004042348,0.014943151,0.021742139,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_kde,2022,cosine,0.01218573,0.005803601,0.01177557,0.019456169,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_kde,2022,IVFFlat,0.012488102,0.005464481,0.011224059,0.01932282,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_kde,2022,IVFPQ,0.012303682,0.005493959,0.012408801,0.018504818,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_kde,2022,L2,0.012041163,0.005476877,0.011042283,0.018795556,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist,2022,cosine,0.008080658,0.001510401,0.008744182,0.018167826,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist,2022,IVFFlat,0.00848432,0.00145627,0.009088975,0.018097471,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist,2022,IVFPQ,0.00835144,0.001475537,0.009180374,0.0169114,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist,2022,L2,0.008481752,0.001456444,0.009088626,0.018028802,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist_kde,2022,cosine,0.012055246,0.004889502,0.011419174,0.01645617,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist_kde,2022,IVFFlat,0.010974251,0.00474491,0.01028725,0.016132417,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist_kde,2022,IVFPQ,0.010705565,0.004798352,0.009965101,0.019832469,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts_knndist_kde,2022,L2,0.01109896,0.004706178,0.010744486,0.016188554,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling,2022,cosine,0.027954562,0.006930308,0.029153664,0.035143048,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling,2022,IVFFlat,0.027954562,0.006930308,0.029153664,0.035060836,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling,2022,IVFPQ,0.027954562,0.006930308,0.029153664,0.031134823,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling,2022,L2,0.027954562,0.006930308,0.029153664,0.034899659,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling_kde,2022,cosine,0.012592276,0.0076908,0.012540126,0.020069102,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling_kde,2022,IVFFlat,0.013081611,0.007557001,0.012295254,0.019877254,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling_kde,2022,IVFPQ,0.013713977,0.008183315,0.014864557,0.020395528,15,10,5,FALSE
beit_large_patch16_384,0.8838,temperature_scaling_kde,2022,L2,0.01276513,0.00752734,0.012168472,0.019342424,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf,2023,cosine,0.038738451,0.01732858,0.037267726,0.045055172,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf,2023,IVFFlat,0.038738451,0.01732858,0.037267726,0.045145197,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf,2023,IVFPQ,0.038738451,0.01732858,0.037267726,0.044772193,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf,2023,L2,0.038738451,0.01732858,0.037267726,0.045060062,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf_kde,2023,cosine,0.00771987,0.002795189,0.007609465,0.014079864,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf_kde,2023,IVFFlat,0.007483516,0.002469586,0.007025623,0.014308647,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf_kde,2023,IVFPQ,0.00889527,0.003062634,0.009463649,0.015817929,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf_kde,2023,L2,0.00747948,0.002469883,0.007067076,0.014042536,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts,2023,cosine,0.021257309,0.01197787,0.021878484,0.029428508,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts,2023,IVFFlat,0.021257309,0.01197787,0.021878484,0.030005277,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts,2023,IVFPQ,0.021257309,0.01197787,0.021878484,0.026265103,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts,2023,L2,0.021257309,0.01197787,0.021878484,0.030085087,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts_kde,2023,cosine,0.010627921,0.004250576,0.009684596,0.015176856,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts_kde,2023,IVFFlat,0.009775833,0.004094219,0.009716252,0.014994003,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts_kde,2023,IVFPQ,0.011408871,0.004498644,0.011253572,0.017432765,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts_kde,2023,L2,0.009701476,0.004096203,0.010041463,0.014608163,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning,2023,cosine,0.052511337,0.018119115,0.055499282,0.072052859,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning,2023,IVFFlat,0.052511337,0.018119115,0.055499282,0.072342449,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning,2023,IVFPQ,0.052511337,0.018119115,0.055499282,0.06252738,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning,2023,L2,0.052511337,0.018119115,0.055499282,0.072349434,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning_kde,2023,cosine,0.051647875,0.038319014,0.054382416,0.059534279,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning_kde,2023,IVFFlat,0.051646675,0.038359011,0.054246864,0.060204955,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning_kde,2023,IVFPQ,0.044756376,0.034399065,0.058274523,0.060888492,15,10,5,FALSE
